year,abr,co2_prod,coef_ineq,diff_hdi_phdi,eys,eys_f,eys_m,gni_pc_f,gni_pc_m,gnipc,hdi_f,hdi_m,ineq_edu,ineq_inc,ineq_le,le,le_f,le_m,lfpr_f,lfpr_m,loss,mf,mmr,mys,mys_f,mys_m,pop_total,pr_f,pr_m,se_f,se_m
1990,74.849,0.851,,2.26,10.155,8.874,11.437,2948.546,6218.353,4581.174,0.479,0.575,,,,63.249,65.087,61.45,50.54,82.8,,3.106,410.306,3.22,2.46,4,183.501,11.4,88.6,13.83,24.55
1991,72.293,0.943,,2.416,9.956,9.066,10.847,3118.811,6710.092,4912.595,0.49,0.577,,,,63.703,65.457,61.98,49.6,82.92,,3.166,409.293,3.493,2.746,4.244,186.778,11.4,88.6,15.247,25.951
1992,68.456,1.058,,2.569,9.874,9.262,10.061,3325.05,7022.922,5172.75,0.502,0.576,,,,64.182,65.93,62.462,50.44,82.79,,3.396,392.993,3.766,3.033,4.488,190.044,11.4,88.6,16.664,27.351
1993,65.434,1.122,,2.703,9.861,9.462,10.247,3512.361,7470.109,5490.571,0.515,0.587,,,,64.851,66.661,63.071,49.53,82.43,,3.599,334.578,4.039,3.319,4.731,193.305,11.4,88.6,18.081,28.752
1994,64.403,1.125,,3.009,10.065,9.666,10.437,3798.658,7948.856,5873.735,0.526,0.597,,,,65.041,66.733,63.368,50.81,83.56,,3.968,342.124,4.313,3.605,4.975,196.592,11.4,88.6,19.497,30.152
1995,63.923,1.122,,3.13,10.256,9.87,10.626,3969.573,8499.137,6235.116,0.535,0.607,,,,65.263,66.869,63.667,50.77,83.55,,4.257,325.333,4.586,3.891,5.219,199.888,11.4,88.6,20.914,31.553
1996,61.498,1.257,,3.077,10.409,9.987,10.815,3913.524,9344.088,6630.638,0.541,0.618,,,,65.465,67.097,63.843,50.73,83.53,,4.15,331.542,4.859,4.178,5.463,203.204,11.4,88.6,22.331,32.954
1997,59.248,1.368,,3.193,10.711,10.244,10.878,4080.15,9540.644,6813.103,0.551,0.624,,,,65.774,67.407,64.148,49.93,83.37,,4.303,314.541,5.132,4.464,5.706,206.536,11.4,88.6,23.748,34.354
1998,56.663,1.176,,2.538,10.785,10.501,10.941,3418.757,7901.583,5663.034,0.55,0.62,,,,65.942,67.635,64.259,51.15,83.19,,3.109,323.55,5.405,4.75,5.95,209.827,11.4,88.6,25.165,35.755
1999,54.825,1.384,,2.689,10.884,10.759,11.005,3352.198,7650.872,5504.836,0.556,0.623,,,,66.001,67.683,64.328,51.16,83.57,,3.13,284.838,5.678,5.036,6.194,213.005,11.4,88.6,26.582,37.156
2000,53.853,1.314,,2.667,10.765,10.689,10.837,3412.734,8006.924,5713.916,0.561,0.628,,,,66.292,67.98,64.61,51.69,84.17,,3.195,298.569,5.951,5.322,6.438,216.078,8,92,27.999,38.556
2001,53.016,1.46,,2.961,10.811,10.729,10.891,3743.36,8294.109,6023.318,0.572,0.635,,,,66.583,68.269,64.899,50,84.59,,3.486,283.904,6.224,5.609,6.681,219.098,8,92,29.416,39.957
2002,51.763,1.401,,2.917,10.947,10.927,10.966,3774.799,8725.624,6255.759,0.58,0.643,,,,66.954,68.682,65.229,48.01,84.13,,3.533,286.328,6.498,5.895,6.925,222.088,8,92,30.832,41.357
2003,50.413,1.521,,3.52,11.189,11.142,11.234,3891.579,8919.59,6411.782,0.588,0.651,,,,67.134,68.827,65.438,47.8,83.69,,4.51,268.545,6.771,6.181,7.169,225.048,8,92,32.249,42.758
2004,48.211,1.518,,3.526,11.325,11.289,11.36,3903.412,9277.542,6597.824,0.585,0.651,,,,65.521,66.94,64.08,47.2,84.31,,4.485,284.093,7.044,6.467,7.413,227.927,11.273,88.727,33.666,44.159
2005,48.096,1.519,,3.605,11.237,11.098,11.375,3961.284,9750.263,6864.443,0.597,0.665,,,,67.531,69.264,65.794,45.91,82.66,,4.618,276.139,7.317,6.754,7.656,230.872,11.273,88.727,35.083,45.559
2006,47.766,1.495,,3.406,11.367,11.343,11.39,4299.37,10066.538,7192.204,0.609,0.67,,,,67.664,69.394,65.929,45.92,82.48,,4.306,254.027,7.59,7.04,7.9,233.952,11.273,88.727,36.5,46.96
2007,47.667,1.651,,3.544,12.013,12.005,12.02,4785.579,10315.263,7559.852,0.614,0.676,,,,67.914,69.687,66.138,49.77,82.68,,4.556,251.273,7.02,6.39,7.68,237.062,11.636,88.364,34.94,46.04
2008,46.292,1.537,,3.675,11.975,11.953,11.996,5141.571,10752.805,7957.281,0.62,0.678,,,,68.085,69.87,66.296,50.39,82.54,,4.818,256.119,7.07,6.51,7.66,240.158,11.636,88.364,36.21,46.82
2009,45.594,1.655,,3.62,12.428,12.403,12.452,5304.195,11124.541,8225.375,0.63,0.689,,,,68.267,70.032,66.495,50.31,81.97,,4.69,241.188,7.31,6.76,7.91,243.22,17.857,82.143,37.42,47.53
2010,45.68,1.827,20.068,4.328,12.645,12.776,12.521,5678.83,11677.007,8689.819,0.639,0.693,19.222,22.916,18.066,68.364,70.152,66.571,50.97,82.33,20.149,5.636,218.758,7.41,6.88,7.975,246.305,18.036,81.964,41.076,48.21
2011,45.593,2.026,20.816,4.572,12.961,13.062,12.866,6001.016,12172.294,9099.459,0.648,0.701,19.538,25.419,17.492,68.629,70.463,66.793,50.96,82.93,20.944,5.909,236.146,7.51,7,8.04,249.47,18.214,81.786,39.85,49.21
2012,44.616,2.062,20.556,5.102,13.297,13.429,13.172,6355.953,12673.24,9528.257,0.657,0.708,19.121,25.403,17.145,68.862,70.721,67.002,51.47,83.44,20.7,6.874,207.031,7.607,7.11,8.117,252.699,18.571,81.429,40.745,50.264
2013,42.675,1.931,20.28,5.217,13.329,13.346,13.313,6540.917,13270.489,9920.761,0.66,0.713,18.554,25.65,16.635,69.064,70.971,67.16,50.7,82.89,20.29,7.074,193.705,7.703,7.22,8.193,255.852,18.571,81.429,42.17,51.292
2014,40.126,1.904,19.918,5.051,13.263,13.257,13.269,6690.505,13802.374,10262.766,0.663,0.716,18.429,25.189,16.137,69.292,71.238,67.353,50.63,82.69,19.913,6.855,193.983,7.8,7.33,8.27,258.877,16.937,83.063,42.93,51.74
2015,37.861,2.081,19.995,5.136,13.639,13.635,13.643,7254.837,14014.709,10650.628,0.674,0.724,18.625,25.527,15.834,69.52,71.46,67.584,50.76,82.46,20.114,6.798,194.186,7.91,7.45,8.39,261.799,17.117,82.883,44.47,53.21
2016,35.356,2.063,18.807,5.106,13.606,13.687,13.53,7465.091,14666.533,11083.031,0.678,0.726,16.155,24.892,15.373,69.733,71.692,67.781,50.94,81.75,18.865,6.701,193.912,7.98,7.57,8.39,264.627,17.117,82.883,40.23,47.78
2017,32.792,2.106,19.361,5.337,13.729,13.804,13.658,7755.566,15264.636,11528.331,0.685,0.734,18.749,24.579,14.756,69.953,71.945,67.971,51.93,81.51,19.382,7.14,194,8.24,7.776,8.739,267.347,19.821,80.179,45.797,53.912
2018,30.648,2.225,18.673,5.594,13.787,13.862,13.715,8135.427,15884.243,12028.829,0.689,0.735,17.246,24.357,14.416,70.08,72.113,68.062,53.11,82.22,18.881,7.369,181.132,8.16,7.76,8.57,269.952,19.821,80.179,46.84,55.05
2019,28.876,2.425,17.74,5.602,13.159,13.299,13.021,8486.915,16494.752,12510.591,0.689,0.733,15.66,23.606,13.954,70.349,72.389,68.325,53.92,82.56,17.787,7.354,158.171,8.36,7.985,8.74,272.489,17.391,82.609,50.298,57.888
2020,27.176,2.237,17.536,5.493,13.349,13.466,13.232,8356.553,15991.278,12192.413,0.687,0.728,15.497,23.629,13.483,68.817,71.097,66.644,53.18,81.63,17.746,7.308,172.923,8.56,8.21,8.91,274.815,20.348,79.652,51.01,58.21
2021,26.824,2.263,16.494,5.516,13.438,13.593,13.284,8747.255,16311.01,12546.963,0.684,0.725,12.532,23.831,13.119,67.452,69.437,65.546,52.04,79.7,16.69,7.273,172.923,8.697,8.372,9.02,276.758,21.043,78.957,53.663,60.433
2022,26.581,2.675,16.547,5.923,13.416,13.597,13.236,8805.853,17367.039,13106.564,0.701,0.744,13.141,23.636,12.866,70.925,72.981,68.871,52.5,81.45,16.667,7.463,172.923,8.697,8.372,9.02,278.831,21.913,78.087,53.734,59.684
2023,26.419,2.642,16.366,6.044,13.336,13.621,13.057,9073.375,18283.6,13700.13,0.704,0.745,12.946,23.636,12.516,71.146,73.268,69.036,53.39,82.23,16.484,7.704,172.923,8.697,8.372,9.02,281.19,21.565,78.435,53.476,59.865
